-id,sender,subject,body,priority,triage_label,clean_text,triage
171,hr@company.com,Account Suspended,Your order #9749 has been shipped and is expected to deliver by 2026-01-05.,low,notify_human,your order 9749 has been shipped and is expected to deliver by 2026 01 05,ignore
172,no-reply@service.com,Congratulations! You've Won,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
173,support@cloud.com,Policy Update,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
174,no-reply@service.com,Payment Overdue,Please complete the mandatory training module before the deadline.,low,notify_human,please complete the mandatory training module before the deadline,ignore
175,news@techblog.com,Security Alert,Your order #4637 has been shipped and is expected to deliver by 2025-12-16.,medium,notify_human,your order 4637 has been shipped and is expected to deliver by 2025 12 16,ignore
176,hr@company.com,Password Reset Request,Security alert: multiple failed login attempts were recorded on your account.,high,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
177,hr@company.com,Account Suspended,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,dear user we detected a login from a new device if this wasn t you reset your password immediately,respond_or_act
178,no-reply@service.com,Meeting Agenda,Your order #5193 has been shipped and is expected to deliver by 2025-12-12.,low,respond,your order 5193 has been shipped and is expected to deliver by 2025 12 12,ignore
179,news@techblog.com,Survey,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
180,sales@shop.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice your account will be locked unless verification is completed,ignore
181,news@techblog.com,Order Shipped,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
182,alerts@bank.com,Policy Update,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
183,security@bank.com,Event Invitation,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
184,alerts@bank.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
185,no-reply@service.com,Action Required,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
186,sales@shop.com,Unusual Login Attempt,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
187,sales@shop.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
188,teamlead@company.com,Event Invitation,Your order #9129 has been shipped and is expected to deliver by 2025-12-24.,medium,respond,your order 9129 has been shipped and is expected to deliver by 2025 12 24,ignore
189,hr@company.com,Policy Update,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,medium,respond,reminder the client meeting is scheduled at 15 00 tomorrow prepare your slides,ignore
190,news@techblog.com,Survey,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,respond,reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,ignore
191,teamlead@company.com,Project Update,Your order #5498 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,your order 5498 has been shipped and is expected to deliver by 2025 12 13,ignore
192,security@bank.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
193,no-reply@service.com,Unusual Login Attempt,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",high,notify_human,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
194,security@bank.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
195,support@cloud.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
196,no-reply@service.com,Policy Update,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert multiple failed login attempts were recorded on your account,ignore
197,boss@company.com,Order Shipped,Your order #3828 has been shipped and is expected to deliver by 2025-12-16.,medium,respond,your order 3828 has been shipped and is expected to deliver by 2025 12 16,ignore
198,no-reply@service.com,Weekly Newsletter,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
199,news@techblog.com,Payment Overdue,Please complete the mandatory training module before the deadline.,low,notify_human,please complete the mandatory training module before the deadline,ignore
200,support@cloud.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
