id,sender,subject,body,priority,triage_label,clean_text,triage,triage_match
150,boss@company.com,Unusual Login Attempt,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
151,security@bank.com,Action Required,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
152,hr@company.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,high,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
153,hr@company.com,Promotion: Big Sale,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
154,hr@company.com,Project Update,Notice: Your account will be locked unless verification is completed.,medium,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
155,sales@shop.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
156,news@techblog.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
157,news@techblog.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
158,no-reply@service.com,Welcome to Service,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
159,no-reply@service.com,Welcome to Service,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 9:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
160,no-reply@service.com,Welcome to Service,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
161,support@cloud.com,Event Invitation,Your order #4084 has been shipped and is expected to deliver by 2026-01-06.,low,respond,your order #4084 has been shipped and is expected to deliver by 2026-01-06.,respond_or_act,default_fallback
162,no-reply@service.com,Policy Update,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
163,news@techblog.com,Unusual Login Attempt,Your invoice of INR 35527.27 is due on 2025-12-26. Please pay to avoid late fees.,low,notify_human,your invoice of inr 35527.27 is due on 2025-12-26. please pay to avoid late fees.,notify_human,\binvoice\b
164,orders@ecom.com,Event Invitation,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
165,support@cloud.com,Event Invitation,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 11:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
166,news@techblog.com,Payment Overdue,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,low,notify_human,reminder: the client meeting is scheduled at 15:00 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
167,teamlead@company.com,Monthly Report,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
168,security@bank.com,Payment Overdue,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,notify_human,reminder: the client meeting is scheduled at 14:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
169,news@techblog.com,Meeting Agenda,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,"hello team, please find the attached weekly report and action items for the project.",respond_or_act,\battached\b
170,boss@company.com,Meeting Agenda,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
171,hr@company.com,Account Suspended,Your order #9749 has been shipped and is expected to deliver by 2026-01-05.,low,notify_human,your order #9749 has been shipped and is expected to deliver by 2026-01-05.,respond_or_act,default_fallback
172,no-reply@service.com,Congratulations! You've Won,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
173,support@cloud.com,Policy Update,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
174,no-reply@service.com,Payment Overdue,Please complete the mandatory training module before the deadline.,low,notify_human,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
175,news@techblog.com,Security Alert,Your order #4637 has been shipped and is expected to deliver by 2025-12-16.,medium,notify_human,your order #4637 has been shipped and is expected to deliver by 2025-12-16.,respond_or_act,default_fallback
176,hr@company.com,Password Reset Request,Security alert: multiple failed login attempts were recorded on your account.,high,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
177,hr@company.com,Account Suspended,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,"dear user, we detected a login from a new device. if this wasn't you, reset your password immediately.",notify_human,\bpassword\b
178,no-reply@service.com,Meeting Agenda,Your order #5193 has been shipped and is expected to deliver by 2025-12-12.,low,respond,your order #5193 has been shipped and is expected to deliver by 2025-12-12.,respond_or_act,default_fallback
179,news@techblog.com,Survey,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
180,sales@shop.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,low,notify_human,notice: your account will be locked unless verification is completed.,respond_or_act,default_fallback
181,news@techblog.com,Order Shipped,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
182,alerts@bank.com,Policy Update,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
183,security@bank.com,Event Invitation,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
184,alerts@bank.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
185,no-reply@service.com,Action Required,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
186,sales@shop.com,Unusual Login Attempt,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
187,sales@shop.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
188,teamlead@company.com,Event Invitation,Your order #9129 has been shipped and is expected to deliver by 2025-12-24.,medium,respond,your order #9129 has been shipped and is expected to deliver by 2025-12-24.,respond_or_act,default_fallback
189,hr@company.com,Policy Update,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,medium,respond,reminder: the client meeting is scheduled at 15:00 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
190,news@techblog.com,Survey,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,respond,reminder: the client meeting is scheduled at 14:30 tomorrow. prepare your slides.,respond_or_act,\bmeeting\b
191,teamlead@company.com,Project Update,Your order #5498 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,your order #5498 has been shipped and is expected to deliver by 2025-12-13.,respond_or_act,default_fallback
192,security@bank.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
193,no-reply@service.com,Unusual Login Attempt,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",high,notify_human,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
194,security@bank.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,"hi, don't miss our sale with discounts up to 70% on selected items. click to know more.",ignore,\bsale\b
195,support@cloud.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
196,no-reply@service.com,Policy Update,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,security alert: multiple failed login attempts were recorded on your account.,respond_or_act,default_fallback
197,boss@company.com,Order Shipped,Your order #3828 has been shipped and is expected to deliver by 2025-12-16.,medium,respond,your order #3828 has been shipped and is expected to deliver by 2025-12-16.,respond_or_act,default_fallback
198,no-reply@service.com,Weekly Newsletter,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
199,news@techblog.com,Payment Overdue,Please complete the mandatory training module before the deadline.,low,notify_human,please complete the mandatory training module before the deadline.,respond_or_act,default_fallback
200,support@cloud.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,congratulations! you have been selected as a lucky winner. claim your prize now by clicking the link.,ignore,\bcongratulations\b
