id,sender,subject,body,priority,triage_label,clean_subject,clean_body,clean_text,triage_output
120,teamlead@company.com,Project Update,Your invoice of INR 7041.91 is due on 2025-12-29. Please pay to avoid late fees.,low,respond,project update,your invoice of inr 7041 91 is due on 2025 12 29 please pay to avoid late fees,project update your invoice of inr 7041 91 is due on 2025 12 29 please pay to avoid late fees,respond_or_act
121,no-reply@service.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,order shipped,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,order shipped congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
122,teamlead@company.com,Survey,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,survey,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,survey congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
123,hr@company.com,Security Alert,Notice: Your account will be locked unless verification is completed.,low,notify_human,security alert,notice your account will be locked unless verification is completed,security alert notice your account will be locked unless verification is completed,notify_human
124,boss@company.com,Survey,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,survey,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,survey congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
125,alerts@bank.com,Meeting Agenda,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,meeting agenda,dear user we detected a login from a new device if this wasn t you reset your password immediately,meeting agenda dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
126,support@cloud.com,Meeting Agenda,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,meeting agenda,security alert multiple failed login attempts were recorded on your account,meeting agenda security alert multiple failed login attempts were recorded on your account,notify_human
127,alerts@bank.com,Action Required,Notice: Your account will be locked unless verification is completed.,low,notify_human,action required,notice your account will be locked unless verification is completed,action required notice your account will be locked unless verification is completed,notify_human
128,sales@shop.com,Payment Overdue,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,payment overdue,hello team please find the attached weekly report and action items for the project,payment overdue hello team please find the attached weekly report and action items for the project,notify_human
129,sales@shop.com,Invoice Due,Your order #6464 has been shipped and is expected to deliver by 2025-12-18.,low,respond,invoice due,your order 6464 has been shipped and is expected to deliver by 2025 12 18,invoice due your order 6464 has been shipped and is expected to deliver by 2025 12 18,respond_or_act
130,news@techblog.com,Promotion: Big Sale,Your invoice of INR 3896.2 is due on 2026-01-05. Please pay to avoid late fees.,medium,ignore,promotion big sale,your invoice of inr 3896 2 is due on 2026 01 05 please pay to avoid late fees,promotion big sale your invoice of inr 3896 2 is due on 2026 01 05 please pay to avoid late fees,ignore
131,sales@shop.com,Monthly Report,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",high,ignore,monthly report,hi don t miss our sale with discounts up to 70 on selected items click to know more,monthly report hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
132,support@cloud.com,Security Alert,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,security alert,hi don t miss our sale with discounts up to 70 on selected items click to know more,security alert hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
133,sales@shop.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,promotion big sale,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,promotion big sale congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
134,alerts@bank.com,Action Required,Your order #9254 has been shipped and is expected to deliver by 2025-12-28.,low,respond,action required,your order 9254 has been shipped and is expected to deliver by 2025 12 28,action required your order 9254 has been shipped and is expected to deliver by 2025 12 28,notify_human
135,boss@company.com,Unusual Login Attempt,Please complete the mandatory training module before the deadline.,medium,notify_human,unusual login attempt,please complete the mandatory training module before the deadline,unusual login attempt please complete the mandatory training module before the deadline,notify_human
136,teamlead@company.com,Invoice Due,Your order #6277 has been shipped and is expected to deliver by 2025-12-26.,medium,respond,invoice due,your order 6277 has been shipped and is expected to deliver by 2025 12 26,invoice due your order 6277 has been shipped and is expected to deliver by 2025 12 26,respond_or_act
137,alerts@bank.com,Meeting Agenda,Reminder: The client meeting is scheduled at 17:30 tomorrow. Prepare your slides.,high,respond,meeting agenda,reminder the client meeting is scheduled at 17 30 tomorrow prepare your slides,meeting agenda reminder the client meeting is scheduled at 17 30 tomorrow prepare your slides,notify_human
138,support@cloud.com,Order Shipped,Your order #4522 has been shipped and is expected to deliver by 2025-12-25.,low,respond,order shipped,your order 4522 has been shipped and is expected to deliver by 2025 12 25,order shipped your order 4522 has been shipped and is expected to deliver by 2025 12 25,notify_human
139,sales@shop.com,System Maintenance,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,system maintenance,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,system maintenance congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
140,orders@ecom.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,payment overdue,hi don t miss our sale with discounts up to 70 on selected items click to know more,payment overdue hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
141,alerts@bank.com,Payment Overdue,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,notify_human,payment overdue,hi don t miss our sale with discounts up to 70 on selected items click to know more,payment overdue hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
142,teamlead@company.com,Unusual Login Attempt,Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,medium,notify_human,unusual login attempt,reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,unusual login attempt reminder the client meeting is scheduled at 10 00 tomorrow prepare your slides,notify_human
143,sales@shop.com,Invoice Due,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,invoice due,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,invoice due congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
144,support@cloud.com,Subscription Renewal,Notice: Your account will be locked unless verification is completed.,low,notify_human,subscription renewal,notice your account will be locked unless verification is completed,subscription renewal notice your account will be locked unless verification is completed,notify_human
145,orders@ecom.com,Monthly Report,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,monthly report,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,monthly report congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
146,security@bank.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,weekly newsletter,please complete the mandatory training module before the deadline,weekly newsletter please complete the mandatory training module before the deadline,notify_human
147,hr@company.com,Promotion: Big Sale,Notice: Your account will be locked unless verification is completed.,medium,notify_human,promotion big sale,notice your account will be locked unless verification is completed,promotion big sale notice your account will be locked unless verification is completed,ignore
148,orders@ecom.com,Welcome to Service,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,welcome to service,security alert multiple failed login attempts were recorded on your account,welcome to service security alert multiple failed login attempts were recorded on your account,notify_human
149,alerts@bank.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,payment overdue,security alert multiple failed login attempts were recorded on your account,payment overdue security alert multiple failed login attempts were recorded on your account,notify_human
150,boss@company.com,Unusual Login Attempt,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,unusual login attempt,dear user we detected a login from a new device if this wasn t you reset your password immediately,unusual login attempt dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
151,security@bank.com,Action Required,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,action required,security alert multiple failed login attempts were recorded on your account,action required security alert multiple failed login attempts were recorded on your account,notify_human
152,hr@company.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,high,notify_human,weekly newsletter,security alert multiple failed login attempts were recorded on your account,weekly newsletter security alert multiple failed login attempts were recorded on your account,notify_human
153,hr@company.com,Promotion: Big Sale,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,promotion big sale,security alert multiple failed login attempts were recorded on your account,promotion big sale security alert multiple failed login attempts were recorded on your account,ignore
154,hr@company.com,Project Update,Notice: Your account will be locked unless verification is completed.,medium,notify_human,project update,notice your account will be locked unless verification is completed,project update notice your account will be locked unless verification is completed,respond_or_act
155,sales@shop.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,low,notify_human,system maintenance,notice your account will be locked unless verification is completed,system maintenance notice your account will be locked unless verification is completed,notify_human
156,news@techblog.com,Weekly Newsletter,Please complete the mandatory training module before the deadline.,low,ignore,weekly newsletter,please complete the mandatory training module before the deadline,weekly newsletter please complete the mandatory training module before the deadline,notify_human
157,news@techblog.com,Account Suspended,"Hello team, please find the attached weekly report and action items for the project.",low,notify_human,account suspended,hello team please find the attached weekly report and action items for the project,account suspended hello team please find the attached weekly report and action items for the project,notify_human
158,no-reply@service.com,Welcome to Service,Notice: Your account will be locked unless verification is completed.,low,notify_human,welcome to service,notice your account will be locked unless verification is completed,welcome to service notice your account will be locked unless verification is completed,notify_human
159,no-reply@service.com,Welcome to Service,Reminder: The client meeting is scheduled at 9:30 tomorrow. Prepare your slides.,low,respond,welcome to service,reminder the client meeting is scheduled at 9 30 tomorrow prepare your slides,welcome to service reminder the client meeting is scheduled at 9 30 tomorrow prepare your slides,notify_human
160,no-reply@service.com,Welcome to Service,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",medium,notify_human,welcome to service,dear user we detected a login from a new device if this wasn t you reset your password immediately,welcome to service dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
161,support@cloud.com,Event Invitation,Your order #4084 has been shipped and is expected to deliver by 2026-01-06.,low,respond,event invitation,your order 4084 has been shipped and is expected to deliver by 2026 01 06,event invitation your order 4084 has been shipped and is expected to deliver by 2026 01 06,notify_human
162,no-reply@service.com,Policy Update,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,policy update,hi don t miss our sale with discounts up to 70 on selected items click to know more,policy update hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
163,news@techblog.com,Unusual Login Attempt,Your invoice of INR 35527.27 is due on 2025-12-26. Please pay to avoid late fees.,low,notify_human,unusual login attempt,your invoice of inr 35527 27 is due on 2025 12 26 please pay to avoid late fees,unusual login attempt your invoice of inr 35527 27 is due on 2025 12 26 please pay to avoid late fees,respond_or_act
164,orders@ecom.com,Event Invitation,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,event invitation,security alert multiple failed login attempts were recorded on your account,event invitation security alert multiple failed login attempts were recorded on your account,notify_human
165,support@cloud.com,Event Invitation,Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,low,respond,event invitation,reminder the client meeting is scheduled at 11 30 tomorrow prepare your slides,event invitation reminder the client meeting is scheduled at 11 30 tomorrow prepare your slides,notify_human
166,news@techblog.com,Payment Overdue,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,low,notify_human,payment overdue,reminder the client meeting is scheduled at 15 00 tomorrow prepare your slides,payment overdue reminder the client meeting is scheduled at 15 00 tomorrow prepare your slides,notify_human
167,teamlead@company.com,Monthly Report,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,monthly report,hi don t miss our sale with discounts up to 70 on selected items click to know more,monthly report hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
168,security@bank.com,Payment Overdue,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,notify_human,payment overdue,reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,payment overdue reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,notify_human
169,news@techblog.com,Meeting Agenda,"Hello team, please find the attached weekly report and action items for the project.",medium,respond,meeting agenda,hello team please find the attached weekly report and action items for the project,meeting agenda hello team please find the attached weekly report and action items for the project,notify_human
170,boss@company.com,Meeting Agenda,Notice: Your account will be locked unless verification is completed.,low,notify_human,meeting agenda,notice your account will be locked unless verification is completed,meeting agenda notice your account will be locked unless verification is completed,notify_human
171,hr@company.com,Account Suspended,Your order #9749 has been shipped and is expected to deliver by 2026-01-05.,low,notify_human,account suspended,your order 9749 has been shipped and is expected to deliver by 2026 01 05,account suspended your order 9749 has been shipped and is expected to deliver by 2026 01 05,notify_human
172,no-reply@service.com,Congratulations! You've Won,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,congratulations you ve won,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,congratulations you ve won congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
173,support@cloud.com,Policy Update,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,policy update,security alert multiple failed login attempts were recorded on your account,policy update security alert multiple failed login attempts were recorded on your account,respond_or_act
174,no-reply@service.com,Payment Overdue,Please complete the mandatory training module before the deadline.,low,notify_human,payment overdue,please complete the mandatory training module before the deadline,payment overdue please complete the mandatory training module before the deadline,notify_human
175,news@techblog.com,Security Alert,Your order #4637 has been shipped and is expected to deliver by 2025-12-16.,medium,notify_human,security alert,your order 4637 has been shipped and is expected to deliver by 2025 12 16,security alert your order 4637 has been shipped and is expected to deliver by 2025 12 16,notify_human
176,hr@company.com,Password Reset Request,Security alert: multiple failed login attempts were recorded on your account.,high,notify_human,password reset request,security alert multiple failed login attempts were recorded on your account,password reset request security alert multiple failed login attempts were recorded on your account,respond_or_act
177,hr@company.com,Account Suspended,"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",low,notify_human,account suspended,dear user we detected a login from a new device if this wasn t you reset your password immediately,account suspended dear user we detected a login from a new device if this wasn t you reset your password immediately,notify_human
178,no-reply@service.com,Meeting Agenda,Your order #5193 has been shipped and is expected to deliver by 2025-12-12.,low,respond,meeting agenda,your order 5193 has been shipped and is expected to deliver by 2025 12 12,meeting agenda your order 5193 has been shipped and is expected to deliver by 2025 12 12,notify_human
179,news@techblog.com,Survey,Notice: Your account will be locked unless verification is completed.,low,notify_human,survey,notice your account will be locked unless verification is completed,survey notice your account will be locked unless verification is completed,notify_human
180,sales@shop.com,System Maintenance,Notice: Your account will be locked unless verification is completed.,low,notify_human,system maintenance,notice your account will be locked unless verification is completed,system maintenance notice your account will be locked unless verification is completed,notify_human
181,news@techblog.com,Order Shipped,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,order shipped,security alert multiple failed login attempts were recorded on your account,order shipped security alert multiple failed login attempts were recorded on your account,notify_human
182,alerts@bank.com,Policy Update,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,policy update,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,policy update congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
183,security@bank.com,Event Invitation,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,event invitation,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,event invitation congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
184,alerts@bank.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,promotion big sale,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,promotion big sale congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
185,no-reply@service.com,Action Required,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,action required,hi don t miss our sale with discounts up to 70 on selected items click to know more,action required hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
186,sales@shop.com,Unusual Login Attempt,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,notify_human,unusual login attempt,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,unusual login attempt congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
187,sales@shop.com,Order Shipped,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,order shipped,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,order shipped congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
188,teamlead@company.com,Event Invitation,Your order #9129 has been shipped and is expected to deliver by 2025-12-24.,medium,respond,event invitation,your order 9129 has been shipped and is expected to deliver by 2025 12 24,event invitation your order 9129 has been shipped and is expected to deliver by 2025 12 24,notify_human
189,hr@company.com,Policy Update,Reminder: The client meeting is scheduled at 15:00 tomorrow. Prepare your slides.,medium,respond,policy update,reminder the client meeting is scheduled at 15 00 tomorrow prepare your slides,policy update reminder the client meeting is scheduled at 15 00 tomorrow prepare your slides,respond_or_act
190,news@techblog.com,Survey,Reminder: The client meeting is scheduled at 14:30 tomorrow. Prepare your slides.,low,respond,survey,reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,survey reminder the client meeting is scheduled at 14 30 tomorrow prepare your slides,notify_human
191,teamlead@company.com,Project Update,Your order #5498 has been shipped and is expected to deliver by 2025-12-13.,medium,respond,project update,your order 5498 has been shipped and is expected to deliver by 2025 12 13,project update your order 5498 has been shipped and is expected to deliver by 2025 12 13,respond_or_act
192,security@bank.com,Weekly Newsletter,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,weekly newsletter,security alert multiple failed login attempts were recorded on your account,weekly newsletter security alert multiple failed login attempts were recorded on your account,notify_human
193,no-reply@service.com,Unusual Login Attempt,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",high,notify_human,unusual login attempt,hi don t miss our sale with discounts up to 70 on selected items click to know more,unusual login attempt hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
194,security@bank.com,Subscription Renewal,"Hi, don't miss our sale with discounts up to 70% on selected items. Click to know more.",low,ignore,subscription renewal,hi don t miss our sale with discounts up to 70 on selected items click to know more,subscription renewal hi don t miss our sale with discounts up to 70 on selected items click to know more,ignore
195,support@cloud.com,Payment Overdue,Security alert: multiple failed login attempts were recorded on your account.,medium,notify_human,payment overdue,security alert multiple failed login attempts were recorded on your account,payment overdue security alert multiple failed login attempts were recorded on your account,notify_human
196,no-reply@service.com,Policy Update,Security alert: multiple failed login attempts were recorded on your account.,low,notify_human,policy update,security alert multiple failed login attempts were recorded on your account,policy update security alert multiple failed login attempts were recorded on your account,respond_or_act
197,boss@company.com,Order Shipped,Your order #3828 has been shipped and is expected to deliver by 2025-12-16.,medium,respond,order shipped,your order 3828 has been shipped and is expected to deliver by 2025 12 16,order shipped your order 3828 has been shipped and is expected to deliver by 2025 12 16,notify_human
198,no-reply@service.com,Weekly Newsletter,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,medium,ignore,weekly newsletter,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,weekly newsletter congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
199,news@techblog.com,Payment Overdue,Please complete the mandatory training module before the deadline.,low,notify_human,payment overdue,please complete the mandatory training module before the deadline,payment overdue please complete the mandatory training module before the deadline,notify_human
200,support@cloud.com,Promotion: Big Sale,Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,low,ignore,promotion big sale,congratulations you have been selected as a lucky winner claim your prize now by clicking the link,promotion big sale congratulations you have been selected as a lucky winner claim your prize now by clicking the link,ignore
